x,PRESIDENCIA,GOBERNACIÓN Y RELACIONES INSTITUCIONALES,ECONOMÍA Y CONOCIMIENTO,EDUCACIÓN,CULTURA,SALUD,TERRITORIO Y SOSTENIBILIDAD,"AGRICULTURA, GANADERIA, PESCA, ALIMENTACIÓN Y MEDIO NATURAL",BIENESTAR SOCIAL Y FAMILIA,JUSTICIA,INTERIOR,EMPRESA Y EMPLEO
2013-5-26,277,211,740,577,410,1085,702,383,855,456,1276,843
2013-5-27,277,211,740,577,410,1085,702,383,855,456,1275,846
2013-5-28,277,211,740,577,410,1085,702,383,855,456,1275,846
2013-5-29,277,211,740,577,410,1085,702,383,854,456,1275,846
2013-5-30,277,211,740,577,410,1085,702,383,855,456,1275,846
2013-5-31,277,211,741,577,410,1085,702,383,855,456,1275,846
2013-6-1,277,211,741,577,410,1085,702,383,855,456,1275,846
2013-6-2,277,210,741,577,410,1085,702,383,855,456,1275,846
2013-6-3,277,210,741,577,410,1085,702,383,855,456,1275,846
2013-6-4,277,210,741,577,410,1085,702,383,856,456,1275,846
2013-6-5,277,210,741,577,410,1085,702,383,856,456,1275,846
2013-6-6,277,210,741,577,410,1085,702,383,856,456,1275,846
2013-6-7,277,210,741,577,410,1085,702,383,856,457,1275,845
2013-6-8,277,210,741,577,410,1085,702,383,856,457,1275,845
2013-6-9,277,210,741,577,410,1085,702,383,856,457,1275,845
2013-6-10,277,210,741,577,410,1085,702,383,856,457,1275,845
2013-6-11,277,210,741,577,410,1085,701,383,856,458,1275,845
2013-6-12,277,210,741,577,410,1085,701,383,856,458,1275,845
2013-6-13,277,210,741,577,410,1085,700,383,856,458,1275,845
2013-6-14,277,211,741,577,410,1085,700,383,856,458,1275,845
2013-6-15,277,211,741,577,410,1085,700,383,856,458,1275,845
2013-6-16,277,211,741,577,410,1085,700,383,856,458,1275,845
2013-6-17,277,211,741,577,410,1085,700,382,856,458,1274,845
2013-6-18,277,211,741,577,410,1085,701,388,856,458,1275,845
2013-6-19,277,211,741,577,410,1085,701,389,856,458,1276,845
2013-6-20,277,211,741,577,410,1085,701,388,856,458,1276,845
2013-6-21,277,211,741,577,410,1085,701,388,856,458,1276,845
2013-6-22,277,211,741,577,410,1085,701,388,856,458,1276,845
2013-6-23,277,211,741,577,410,1085,701,388,856,458,1276,845
2013-6-24,277,211,741,577,410,1085,701,388,856,458,1276,845
2013-6-25,277,211,741,577,410,1086,701,388,856,458,1276,845
2013-6-26,277,211,741,577,410,1086,701,388,856,458,1276,845
2013-6-27,277,211,741,577,410,1086,701,388,856,458,1278,846
2013-6-28,277,218,741,577,410,1086,701,388,856,458,1278,846
2013-6-29,277,220,741,577,410,1086,701,388,856,458,1278,846
2013-6-30,277,220,741,577,410,1086,701,388,856,458,1278,846
2013-7-1,277,220,741,577,410,1086,701,388,856,458,1278,846
2013-7-2,277,226,741,577,410,1086,694,388,856,458,1278,846
2013-7-3,279,226,741,577,410,1086,694,389,856,458,1278,846
2013-7-4,279,226,741,577,410,1086,694,382,857,458,1278,846
2013-7-5,279,226,741,577,410,1086,694,382,857,458,1278,846
2013-7-6,279,226,741,577,410,1086,694,382,857,458,1278,846
2013-7-7,279,226,741,577,410,1086,694,382,857,458,1278,846
2013-7-8,279,226,741,577,410,1086,694,381,857,458,1278,846
2013-7-9,279,226,741,577,410,1086,694,381,857,458,1278,846
2013-7-10,279,226,741,577,410,1085,694,381,857,458,1278,846
2013-7-11,279,226,741,577,410,1085,694,381,857,458,1278,846
2013-7-12,279,226,741,577,410,1085,694,381,857,458,1278,846
2013-7-13,279,226,741,577,410,1085,694,381,857,458,1278,846
2013-7-14,279,226,741,577,410,1085,694,381,857,458,1278,846
2013-7-15,279,226,741,577,410,1085,692,381,857,457,1278,846
2013-7-16,279,226,741,577,410,1085,692,381,857,446,1278,846
2013-7-17,279,226,741,576,410,1085,692,381,857,443,1278,846
2013-7-18,279,226,741,576,409,1085,692,381,857,445,1278,846
2013-7-19,279,226,741,577,409,1086,692,381,857,443,1278,846
2013-7-20,279,226,741,577,409,1086,692,381,857,443,1278,846
2013-7-21,279,226,741,577,409,1086,692,381,857,443,1278,846
2013-7-22,279,226,741,577,409,1086,692,381,857,443,1278,846
2013-7-23,279,226,741,577,409,1086,692,382,857,443,1278,846
2013-7-24,279,226,741,577,409,1086,692,382,857,443,1278,846
2013-7-25,279,226,741,577,409,1086,692,372,857,443,1279,846
2013-7-26,279,226,741,577,409,1086,692,368,858,454,1279,846
2013-7-27,279,226,741,577,409,1086,692,368,858,454,1279,846
2013-7-28,279,226,741,577,409,1086,692,368,858,454,1279,846
2013-7-29,279,226,741,577,409,1086,692,368,858,456,1279,846
2013-7-30,279,226,742,577,409,1085,692,368,859,456,1279,846
2013-7-31,279,226,742,577,409,1085,692,368,859,456,1279,846
2013-8-1,279,226,742,577,409,1085,692,368,859,456,1279,846
2013-8-2,279,226,742,577,409,1085,692,368,859,456,1279,846
2013-8-3,279,226,742,577,409,1085,692,368,859,456,1279,846
2013-8-4,279,226,742,577,409,1085,692,368,859,456,1279,846
2013-8-5,279,226,742,577,409,1086,692,355,859,456,1279,846
2013-8-6,279,226,742,577,409,1086,692,355,859,456,1279,846
2013-8-7,279,226,742,577,409,1086,692,355,859,456,1279,846
2013-8-8,279,226,742,577,409,1094,692,355,859,455,1279,846
2013-8-9,279,226,742,577,409,1094,692,355,859,455,1279,846
2013-8-10,279,226,742,577,409,1094,692,355,859,455,1279,846
2013-8-11,279,226,742,577,409,1094,692,355,859,455,1279,846
2013-8-12,279,226,742,577,409,1094,692,355,859,455,1279,846
2013-8-13,279,226,742,577,409,1094,692,355,859,455,1279,846
2013-8-14,279,226,742,577,409,1094,692,355,859,455,1279,846
2013-8-15,279,226,742,577,409,1094,692,355,859,455,1279,846
2013-8-16,279,226,742,577,409,1094,692,355,859,455,1279,846
2013-8-17,279,226,742,577,409,1094,692,355,859,455,1279,846
2013-8-18,279,226,742,577,409,1094,692,355,859,455,1279,846
2013-8-19,279,226,742,577,409,1094,692,355,859,455,1279,846
2013-8-20,279,226,742,577,409,1094,692,355,859,455,1279,846
2013-8-21,279,226,742,577,409,1094,692,355,859,455,1279,846
2013-8-22,279,226,742,577,409,1094,692,355,859,455,1279,846
2013-8-23,279,226,742,577,409,1094,692,355,859,455,1279,846
2013-8-24,279,226,742,577,409,1094,692,355,859,455,1279,846
2013-8-25,279,226,742,577,409,1094,692,355,859,455,1279,846
2013-8-26,279,226,742,577,409,1094,692,355,859,455,1279,846
2013-8-27,279,226,742,577,409,1094,692,355,859,455,1279,846
2013-8-28,279,226,742,577,409,1094,692,355,859,455,1279,846
2013-8-29,279,226,742,577,409,1094,692,355,859,455,1279,846
